idx,fuel_tank_pressure,ox_tank_pressure,chamber_pressure,ox_servo,fuel_servo
5.14,37.75696,48.26784,0.2368,0.0,1.0940718699931336
5.16,37.75696,48.32656,0.2368,0.0,1.0940718699931336
5.18,37.75696,48.20912,0.2368,0.0,1.0940718699931336
5.2,37.75696,48.26784,0.2368,0.0,1.0940718699931336
5.22,37.75696,48.32656,0.2368,0.0,1.0940718699931336
5.24,37.75696,48.26784,0.2368,0.0,1.0940718699931336
5.26,37.75696,48.32656,0.2368,0.0,1.0940718699931336
5.28,37.75696,48.20912,0.2368,0.0,0.9750514991989013
5.3,37.75696,48.32656,0.2368,0.0,0.9750514991989013
5.32,37.75696,48.32656,0.29600000000000004,0.0,1.2130922407873654
5.34,37.75696,48.26784,0.2368,0.0,1.0940718699931336
5.36,37.75696,48.26784,0.2368,0.0,1.0940718699931336
5.38,37.75696,48.32656,0.29600000000000004,0.0,1.0940718699931336
5.4,37.75696,48.20912,0.2368,0.0,1.0940718699931336
5.42,37.75696,48.32656,0.1776,0.0,1.0940718699931336
5.44,37.75696,48.26784,0.2368,0.0,1.0940718699931336
5.46,37.75696,48.26784,0.2368,0.0,1.0940718699931336
5.48,37.75696,48.26784,0.2368,0.0,1.0940718699931336
5.5,37.75696,48.32656,0.2368,0.0,1.2130922407873654
5.52,37.75696,48.26784,0.2368,0.0,1.0940718699931336
5.54,37.75696,48.26784,0.2368,0.0,1.0940718699931336
5.56,37.75696,48.26784,0.2368,0.0,1.0940718699931336
5.58,37.75696,48.32656,0.2368,0.0,1.0940718699931336
5.6,37.75696,48.20912,0.2368,0.0,1.0940718699931336
5.62,37.75696,48.32656,0.2368,0.0,1.0940718699931336
5.64,37.75696,48.20912,0.2368,0.0,1.0940718699931336
5.66,37.75696,48.20912,0.2368,0.0,1.0940718699931336
5.68,37.75696,48.20912,0.2368,0.0,0.9750514991989013
5.7,37.75696,48.20912,0.2368,0.0,1.2130922407873654
5.72,37.75696,48.20912,0.2368,0.0,1.0940718699931336
5.74,37.75696,48.20912,0.2368,0.0,1.0940718699931336
5.76,37.75696,48.20912,0.2368,0.0,1.0940718699931336
5.78,37.75696,48.20912,0.2368,0.0,1.0940718699931336
5.8,37.75696,48.20912,0.2368,0.0,1.0940718699931336
5.82,37.75696,48.20912,0.1776,0.0,1.2130922407873654
5.84,37.75696,48.20912,0.2368,0.0,1.0940718699931336
5.86,37.75696,48.1504,0.2368,0.0,1.0940718699931336
5.88,37.75696,48.20912,0.2368,0.0,0.9750514991989013
5.9,37.75696,48.1504,0.2368,0.0,1.0940718699931336
5.92,37.75696,48.091680000000004,0.29600000000000004,0.0,1.2130922407873654
5.94,37.75696,48.1504,0.2368,0.0,1.0940718699931336
5.96,37.75696,48.1504,0.2368,0.0,1.0940718699931336
5.98,37.75696,48.1504,0.2368,0.0,1.0940718699931336
6.0,37.75696,48.1504,0.2368,0.0,1.0940718699931336
6.02,37.75696,48.1504,0.2368,0.0,1.0940718699931336
6.04,37.75696,48.20912,0.29600000000000004,0.0,0.9750514991989013
6.06,37.75696,48.1504,0.29600000000000004,0.0,0.9750514991989013
6.08,37.75696,48.20912,0.1776,0.0,0.9750514991989013
6.1,37.75696,48.1504,0.2368,0.0,1.0940718699931336
6.12,37.75696,48.1504,0.2368,0.0,1.0940718699931336
6.14,37.75696,48.1504,0.2368,0.0,1.0940718699931336
6.16,37.75696,48.1504,0.2368,0.0,1.0940718699931336
6.18,37.75696,48.1504,0.29600000000000004,0.0,1.2130922407873654
6.2,37.75696,48.091680000000004,0.29600000000000004,0.0,1.0940718699931336
6.22,37.75696,48.1504,0.29600000000000004,0.0,1.0940718699931336
6.24,37.75696,48.1504,0.2368,0.0,0.9750514991989013
6.26,37.75696,48.1504,0.29600000000000004,0.0,1.2130922407873654
6.28,37.75696,48.1504,0.2368,0.0,0.9750514991989013
6.3,37.75696,48.091680000000004,0.2368,0.0,0.9750514991989013
6.32,37.75696,48.091680000000004,0.2368,0.0,0.9750514991989013
6.34,37.75696,48.03296,0.2368,0.0,1.0940718699931336
6.36,37.75696,48.091680000000004,0.2368,0.0,1.2130922407873654
6.38,37.75696,48.091680000000004,0.2368,0.0,1.0940718699931336
6.4,37.75696,48.091680000000004,0.2368,0.0,1.0940718699931336
6.42,37.75696,48.091680000000004,0.29600000000000004,0.0,1.0940718699931336
6.44,37.75696,48.03296,0.2368,0.0,1.0940718699931336
6.46,37.75696,48.1504,0.2368,0.0,1.0940718699931336
6.48,37.75696,48.091680000000004,0.2368,0.0,1.0940718699931336
6.5,37.75696,48.1504,0.2368,0.0,0.9750514991989013
6.52,37.75696,48.1504,0.2368,0.0,1.0940718699931336
6.54,37.75696,48.03296,0.29600000000000004,0.0,1.0940718699931336
6.56,37.75696,48.03296,0.2368,0.0,1.0940718699931336
